Domain No,S11,S12,S13,S14,S15,S16,S21,S22,S23,S24,S25,S26,S31,S32,S33,S34,S35,S36,S41,S42,S43,S44,S45,S46,S51,S52,S53,S54,S55,S56,S61,S62,S63,S64,S65,S66,eff_s_d,test
       8.000,      83.594,      15.692,      -4.891,      -4.326,      -0.266,       0.349,       0.000,      37.289,      -4.311,       3.239,      -0.328,       1.031,       0.000,       0.000,       9.583,       6.157,       0.269,      -0.148,       0.000,       0.000,       0.000,      13.443,       0.304,       0.111,       0.000,       0.000,       0.000,       0.000,       1.423,      -0.194,       0.000,       0.000,       0.000,       0.000,       0.000,       1.628,
       9.000,     229.767,      36.302,       2.776,     -10.057,      -0.373,      -0.401,       0.000,     113.902,       2.082,      -3.137,       1.620,      -0.096,       0.000,       0.000,      18.727,      12.335,       0.802,       3.422,       0.000,       0.000,       0.000,      60.645,      -1.536,       0.914,       0.000,       0.000,       0.000,       0.000,       9.177,       0.252,       0.000,       0.000,       0.000,       0.000,       0.000,      11.401,
      10.000,     325.254,      52.423,       7.573,      -6.089,       0.091,      -0.802,       0.000,     185.462,       7.240,      -2.260,       1.091,       0.106,       0.000,       0.000,      18.035,       6.263,       0.904,       0.948,       0.000,       0.000,       0.000,      97.237,      -3.645,       1.796,       0.000,       0.000,       0.000,       0.000,      12.408,      -0.223,       0.000,       0.000,       0.000,       0.000,       0.000,      14.474,
      11.000,     422.686,      72.351,      11.830,      -0.062,      -0.025,      -1.734,       0.000,     237.411,       9.357,      -0.577,       0.461,      -1.335,       0.000,       0.000,      28.822,       2.769,      -0.138,       0.330,       0.000,       0.000,       0.000,     125.964,      -5.670,      -0.672,       0.000,       0.000,       0.000,       0.000,      18.102,      -0.069,       0.000,       0.000,       0.000,       0.000,       0.000,      16.227,
      12.000,     432.045,      75.136,      12.512,      -2.941,       0.531,      -1.103,       0.000,     252.680,      10.442,      -2.648,       0.741,       0.359,       0.000,       0.000,      31.496,       5.071,       0.558,       1.053,       0.000,       0.000,       0.000,     130.558,      -4.964,       2.995,       0.000,       0.000,       0.000,       0.000,      20.071,      -0.725,       0.000,       0.000,       0.000,       0.000,       0.000,      19.357,
      13.000,     430.943,      67.843,      10.600,       9.564,       0.010,      -1.119,       0.000,     223.920,      10.374,       5.567,      -1.693,      -0.037,       0.000,       0.000,      27.985,      -8.090,      -0.919,       3.528,       0.000,       0.000,       0.000,     127.095,      -4.673,      -1.630,       0.000,       0.000,       0.000,       0.000,      17.870,      -0.520,       0.000,       0.000,       0.000,       0.000,       0.000,      21.324,
      14.000,     352.936,      51.007,       7.821,      14.588,       1.051,      -1.840,       0.000,     156.857,       6.507,       4.902,      -2.157,      -2.565,       0.000,       0.000,      30.987,     -13.231,       0.083,       2.911,       0.000,       0.000,       0.000,      95.357,      -4.729,       2.094,       0.000,       0.000,       0.000,       0.000,      15.187,      -0.818,       0.000,       0.000,       0.000,       0.000,       0.000,      16.758,
      15.000,     225.650,      38.797,      -8.366,       8.070,      -1.056,      -0.394,       0.000,      83.850,      -7.881,      -7.099,      -0.825,      -1.838,       0.000,       0.000,      31.008,     -12.604,       1.073,       0.038,       0.000,       0.000,       0.000,      34.290,      -0.847,       0.591,       0.000,       0.000,       0.000,       0.000,       8.849,       0.863,       0.000,       0.000,       0.000,       0.000,       0.000,       9.537,
      16.000,      51.752,      14.027,      -5.862,       1.434,      -0.014,       0.019,       0.000,      19.392,      -0.246,      -3.419,      -0.007,       0.329,       0.000,       0.000,       7.705,       1.973,       0.014,       0.091,       0.000,       0.000,       0.000,       8.948,       0.035,       0.078,       0.000,       0.000,       0.000,       0.000,       3.535,       1.868,       0.000,       0.000,       0.000,       0.000,       0.000,       5.322,
      30.000,     125.197,      19.216,       2.158,      -2.664,       0.176,      -0.024,       0.000,      64.823,       2.036,       0.113,       0.879,       0.114,       0.000,       0.000,       5.991,       1.738,       0.856,       0.468,       0.000,       0.000,       0.000,      31.060,      -0.323,       2.117,       0.000,       0.000,       0.000,       0.000,       4.189,      -0.037,       0.000,       0.000,       0.000,       0.000,       0.000,       3.484,
      31.000,     291.291,      85.737,       7.806,       0.003,      -0.081,      -7.295,       0.000,     284.048,       8.480,      -0.155,       0.328,      -6.758,       0.000,       0.000,      16.906,       0.230,       1.399,       0.050,       0.000,       0.000,       0.000,     100.615,      -2.532,       0.659,       0.000,       0.000,       0.000,       0.000,      13.442,       0.146,       0.000,       0.000,       0.000,       0.000,       0.000,      14.691,
      32.000,     358.930,     106.829,       9.724,      -0.107,       0.176,     -11.103,       0.000,     354.715,       9.749,      -0.250,       0.111,     -10.238,       0.000,       0.000,      22.288,       0.333,       0.410,      -0.896,       0.000,       0.000,       0.000,     124.388,      -3.337,       0.556,       0.000,       0.000,       0.000,       0.000,      17.488,      -0.083,       0.000,       0.000,       0.000,       0.000,       0.000,      15.525,
      33.000,     384.848,     114.836,      10.856,       0.391,      -0.412,      -7.198,       0.000,     384.703,      10.791,      -0.138,       0.570,      -6.414,       0.000,       0.000,      24.923,       0.205,       1.775,       0.119,       0.000,       0.000,       0.000,     134.491,      -2.363,       2.856,       0.000,       0.000,       0.000,       0.000,      21.521,      -0.121,       0.000,       0.000,       0.000,       0.000,       0.000,      19.601,
      34.000,     432.422,     130.930,      14.790,      -0.227,       1.280,       6.342,       0.000,     429.140,      14.392,      -0.020,       0.066,       7.246,       0.000,       0.000,      33.295,      -0.318,       1.698,       0.712,       0.000,       0.000,       0.000,      28.062,       2.156,      -0.094,       0.000,       0.000,       0.000,       0.000,     149.617,       0.373,       0.000,       0.000,       0.000,       0.000,       0.000,      28.251,
      35.000,     454.070,     137.708,      16.612,      -0.121,       1.104,       6.620,       0.000,     448.404,      16.111,       0.218,      -0.460,       7.361,       0.000,       0.000,      36.899,      -0.383,       2.024,       0.857,       0.000,       0.000,       0.000,      31.530,       2.291,      -0.391,       0.000,       0.000,       0.000,       0.000,     157.091,      -1.121,       0.000,       0.000,       0.000,       0.000,       0.000,      31.269,
      36.000,     464.283,     141.940,      17.676,       0.183,       1.194,       5.523,       0.000,     461.544,      17.095,      -0.205,      -0.530,       6.197,       0.000,       0.000,      38.991,       0.756,       2.364,      -1.919,       0.000,       0.000,       0.000,      31.489,       2.537,      -0.448,       0.000,       0.000,       0.000,       0.000,     161.041,       0.940,       0.000,       0.000,       0.000,       0.000,       0.000,      30.640,
      37.000,     518.236,     156.617,      22.290,       0.669,       0.177,      -6.257,       0.000,     511.104,      22.454,      -0.227,       0.117,      -5.603,       0.000,       0.000,      51.738,       1.679,       1.161,       1.411,       0.000,       0.000,       0.000,     179.725,      -2.442,       4.439,       0.000,       0.000,       0.000,       0.000,      37.969,      -0.590,       0.000,       0.000,       0.000,       0.000,       0.000,      36.770,
      38.000,     608.470,     182.229,      32.691,       1.493,       0.776,     -12.279,       0.000,     587.863,      34.954,      -0.199,       0.154,     -11.337,       0.000,       0.000,      72.030,      -0.619,       0.146,       2.550,       0.000,       0.000,       0.000,     208.709,      -5.017,       4.168,       0.000,       0.000,       0.000,       0.000,      53.400,      -1.283,       0.000,       0.000,       0.000,       0.000,       0.000,      59.146,
      39.000,     686.038,     200.238,      25.961,       3.069,      -0.831,     -17.072,       0.000,     664.499,      27.375,      -2.600,       0.068,     -15.909,       0.000,       0.000,      58.840,      -5.624,       0.724,       0.626,       0.000,       0.000,       0.000,     237.065,      -6.067,       8.846,       0.000,       0.000,       0.000,       0.000,      40.983,      -1.307,       0.000,       0.000,       0.000,       0.000,       0.000,      43.025,
      40.000,     319.816,      72.554,     -13.607,      20.861,       0.011,      -0.739,       0.000,     186.196,     -11.742,     -12.202,      -1.465,      -1.904,       0.000,       0.000,      53.585,     -16.898,      -1.955,       1.411,       0.000,       0.000,       0.000,      60.729,      -0.104,       0.549,       0.000,       0.000,       0.000,       0.000,      16.773,       0.760,       0.000,       0.000,       0.000,       0.000,       0.000,      19.563,
      41.000,      33.023,      12.107,      -4.412,       2.797,      -0.067,       0.085,       0.000,      22.489,      -0.835,      -3.166,       0.008,       0.215,       0.000,       0.000,       7.307,       1.170,      -0.161,       0.060,       0.000,       0.000,       0.000,       7.161,      -0.057,      -0.007,       0.000,       0.000,       0.000,       0.000,       2.900,       0.961,       0.000,       0.000,       0.000,       0.000,       0.000,       4.446,
