Domain No,S11,S12,S13,S14,S15,S16,S21,S22,S23,S24,S25,S26,S31,S32,S33,S34,S35,S36,S41,S42,S43,S44,S45,S46,S51,S52,S53,S54,S55,S56,S61,S62,S63,S64,S65,S66,eff_s_d,test
       8.000,      83.595,       9.327,       1.475,     -14.133,       0.344,      -0.084,       0.000,      31.727,       1.109,      -9.375,       0.423,      -0.800,       0.000,       0.000,       4.240,      -0.240,       0.022,      -0.008,       0.000,       0.000,       0.000,      24.343,      -0.741,       0.306,       0.000,       0.000,       0.000,       0.000,       1.616,      -0.201,       0.000,       0.000,       0.000,       0.000,       0.000,       1.438,
       9.000,     229.754,      32.853,       6.190,     -17.541,       1.461,       1.023,       0.000,     109.534,       5.836,     -13.903,       1.447,       0.028,       0.000,       0.000,      15.653,      -0.375,       0.639,       3.258,       0.000,       0.000,       0.000,      68.092,      -2.358,       1.059,       0.000,       0.000,       0.000,       0.000,       9.180,      -0.167,       0.000,       0.000,       0.000,       0.000,       0.000,      11.407,
      10.000,     325.236,      51.845,       8.140,      -9.325,       2.482,       0.137,       0.000,     184.698,       7.860,      -8.121,       1.162,      -0.077,       0.000,       0.000,      17.601,      -0.174,       1.145,       0.872,       0.000,       0.000,       0.000,      98.450,      -4.009,       1.198,       0.000,       0.000,       0.000,       0.000,      12.458,      -0.320,       0.000,       0.000,       0.000,       0.000,       0.000,      14.427,
      11.000,     422.683,      72.335,      11.853,      -1.523,      -2.149,      -0.530,       0.000,     237.315,       9.436,      -2.985,       0.012,      -1.896,       0.000,       0.000,      28.750,       0.284,      -0.012,       0.354,       0.000,       0.000,       0.000,     126.094,      -5.936,      -0.295,       0.000,       0.000,       0.000,       0.000,      18.145,      -0.055,       0.000,       0.000,       0.000,       0.000,       0.000,      16.225,
      12.000,     431.969,      74.911,      12.750,      -5.854,       5.656,      -0.078,       0.000,     252.177,      10.825,      -7.918,       1.314,       0.148,       0.000,       0.000,      31.282,      -0.209,       0.772,       0.933,       0.000,       0.000,       0.000,     131.319,      -5.360,       1.850,       0.000,       0.000,       0.000,       0.000,      20.199,      -0.671,       0.000,       0.000,       0.000,       0.000,       0.000,      19.262,
      13.000,     430.941,      66.979,      11.439,      13.726,      -1.071,       0.908,       0.000,     222.631,      11.336,      11.787,      -1.524,      -0.604,       0.000,       0.000,      27.399,       0.093,      -1.089,       3.459,       0.000,       0.000,       0.000,     128.937,      -5.288,      -1.443,       0.000,       0.000,       0.000,       0.000,      17.864,      -0.326,       0.000,       0.000,       0.000,       0.000,       0.000,      21.365,
      14.000,     352.849,      47.925,      10.971,      21.581,       5.769,      -0.021,       0.000,     153.608,       9.274,      13.341,      -1.136,      -3.474,       0.000,       0.000,      28.639,      -0.132,      -0.414,       3.256,       0.000,       0.000,       0.000,     100.874,      -4.928,       0.834,       0.000,       0.000,       0.000,       0.000,      15.178,      -0.590,       0.000,       0.000,       0.000,       0.000,       0.000,      16.935,
      15.000,     225.645,      23.680,       6.759,      32.177,       1.518,      -0.388,       0.000,      71.244,       4.536,      19.089,      -0.501,      -1.725,       0.000,       0.000,      18.646,       0.738,       0.095,      -0.099,       0.000,       0.000,       0.000,      59.265,      -1.321,      -0.397,       0.000,       0.000,       0.000,       0.000,       9.715,       0.780,       0.000,       0.000,       0.000,       0.000,       0.000,       8.669,
      16.000,      51.751,       5.159,       3.005,      14.054,       0.079,       0.140,       0.000,      14.155,       1.235,       7.034,       0.094,       0.120,       0.000,       0.000,       9.817,       0.686,       0.170,       0.175,       0.000,       0.000,       0.000,      12.076,       0.132,       0.154,       0.000,       0.000,       0.000,       0.000,       6.069,       1.261,       0.000,       0.000,       0.000,       0.000,       0.000,       2.786,
      30.000,     125.107,      18.980,       2.388,      -3.743,       3.280,       0.140,       0.000,      64.706,       2.179,      -1.919,       1.285,       0.290,       0.000,       0.000,       5.925,      -0.021,       0.871,       0.371,       0.000,       0.000,       0.000,      31.357,      -0.534,       1.597,       0.000,       0.000,       0.000,       0.000,       4.235,      -0.005,       0.000,       0.000,       0.000,       0.000,       0.000,       3.413,
